"Sr.","Stock Name","Symbol","close","%_change","volume","sector","industry2","marketcapname","Add Column"
1408,"Mirae Asset BSE 200 Equal Weight ETF","EQUAL200","13.41","-0.07%","11,227","indices","indices","smallcap",""
1409,"NIFTYALPHA50","NIFTYALPHA50","55,024.65","-0.08%","0","indices","indices","smallcap",""
1410,"NIFTY200MOMENTM30","NIFTY200MOMENTM30","30,229","-0.08%","0","indices","indices","smallcap",""
1411,"Swaraj Engines Limited","SWARAJENG","3,545.7","-0.08%","4,651","industrials","engines","smallcap",""
1412,"Emcure Pharmaceuticals Ltd","EMCURE","1,950.6","-0.08%","32,384","healthcare","pharmaceuticals - indian - bulk drugs & formln","largecap",""
1413,"CG Power and Industrial Solutions Ltd","CGPOWER","886","-0.08%","9,64,372","industrials","electric equipment","largecap",""
1414,"Ambuja Cements Limited","AMBUJACEM","383.8","-0.08%","11,80,134","building materials","cement - north india","largecap",""
1415,"Lexus Granito (India) Ltd","LEXUS","12.18","-0.08%","15,220","building materials","ceramics - tiles / sanitaryware","smallcap",""
1416,"NIFTYMIDSMALLCAP400","NIFTYMIDSMALLCAP400","20,904.95","-0.09%","0","indices","indices","smallcap",""
1417,"NIFTYMIDSELECT","NIFTYMIDSELECT","14,027.7","-0.09%","0","indices","indices","smallcap",""
1418,"L&t Technology Services Limited","LTTS","3,206.1","-0.09%","23,468","i.t","computers - software - large","largecap",""
1419,"Sobha Limited","SOBHA","1,226.6","-0.09%","57,820","realty","construction","midcap",""
1420,"Dynacons Systems & Solutions Limited","DSSL","1,021.2","-0.09%","13,959","i.t","computers - software - medium / small","smallcap",""
1421,"Jio Financial Services Ltd","JIOFIN","227","-0.09%","77,41,336","financials","finance & investments","largecap",""
1422,"Dcm  Limited","DCM","75","-0.09%","9,883","castings, forgings & fasteners","castings & forgings","smallcap",""
1423,"Equippp Social Impact Technologies Ltd","EQUIPPP","22.86","-0.09%","3,063","i.t","computers - software - medium / small","smallcap",""
1424,"ICICI Prudential Nifty 100 Low Volatility 30 ETF","LOWVOLIETF","21.18","-0.09%","5,68,565","indices","indices","smallcap",""
1425,"ICICI Prudential Nifty Oil & Gas ETF","OILIETF","11.01","-0.09%","6,45,500","indices","indices","smallcap",""
1426,"Groww Nifty 500 Momentum 50 ETF","GROWWMOM50","10.82","-0.09%","4,16,743","indices","indices","smallcap",""
1427,"CNXPHARMA","CNXPHARMA","27,003","-0.1%","0","indices","indices","smallcap",""
1428,"HDFC Asset Management Company Ltd","HDFCAMC","2,378","-0.1%","3,63,424","financials","finance & investments","largecap",""
1429,"C.E. Info Systems Ltd","MAPMYINDIA","881.9","-0.1%","76,763","i.t","computers - software - medium / small","smallcap",""
1430,"IIFL Finance Ltd","IIFL","616.95","-0.1%","8,43,724","financials","finance & investments","largecap",""
1431,"Kalyan Jewellers India Ltd","KALYANKJIL","573","-0.1%","28,31,344","consumer discretionary","diamond cutting / jewellery","largecap",""
1432,"Landmark Cars Ltd","LANDMARK","488.55","-0.1%","54,874","consumer discretionary","trading","smallcap",""
1433,"Ion Exchange (India) Ltd","IONEXCHANG","420.15","-0.1%","1,08,351","realty","engineering - turnkey services","midcap",""
1434,"Sirca Paints India Ltd","SIRCA","410.3","-0.1%","1,19,005","building materials","paints / varnishes","smallcap",""
1435,"Art Nirman Ltd","ARTNIRMAN","39.97","-0.1%","632","realty","construction","smallcap",""
1436,"Aditya Birla Sun Life Nifty IT ETF","TECH","30.92","-0.1%","27,693","indices","indices","smallcap",""
1437,"Mazagon Dock Shipbuilders Ltd","MAZDOCK","2,199.6","-0.11%","4,26,521","aerospace & defence","miscellaneous","largecap",""
1438,"Coforge (Niit Tech) Ltd","COFORGE","1,784","-0.11%","8,03,153","i.t","computers - software - large","largecap",""
1439,"Haleos Labs Limited","HALEOSLABS","1,501.8","-0.11%","555","healthcare","pharmaceuticals - indian - bulk drugs & formln","smallcap",""
1440,"Axis NIFTY Bank ETF","BNKETFAXIS","573.18","-0.11%","953","indices","indices","smallcap",""
1441,"Team India Guaranty Ltd","TEAMGTY","241.45","-0.11%","272","financials","finance & investments","smallcap",""
1442,"Chemcon Speciality Chemicals Ltd","CHEMCON","227.84","-0.11%","30,935","chemicals","chemicals","smallcap",""
1443,"Nippon India ETF PSU Bank Bees","PSUBNKBEES","92.35","-0.11%","4,62,230","indices","indices","smallcap",""
1444,"Kotak Nifty Alpha 50 ETF","ALPHA","52.76","-0.11%","9,00,108","indices","indices","smallcap",""
1445,"Fiberweb (India) Ltd","FIBERWEB","26.54","-0.11%","9,370","textiles","textiles - products","smallcap",""
1446,"Eimco Elecon (india) Limited","EIMCOELECO","2,301.6","-0.12%","16,786","industrials","engineering","smallcap",""
1447,"Adani Total Gas Ltd","ATGL","611.65","-0.12%","5,47,772","energy","miscellaneous","largecap",""
1448,"Blb Limited","BLBLIMITED","17.1","-0.12%","75,246","financials","finance & investments","smallcap",""
1449,"Bharat Road Network","BRNL","16.69","-0.12%","21,702","realty","construction","smallcap",""
1450,"Mirae Asset Nifty500 Multicap 50:25:25 ETF","MULTICAP","16.29","-0.12%","48,576","indices","indices","smallcap",""
1451,"Ather Energy Ltd","ATHERENERG","1,497","-0.13%","18,96,434","auto","automobiles - scooters and 3 - wheelers","largecap",""
1452,"Dcm Shriram Limited","DCMSHRIRAM","974.3","-0.13%","20,353","miscellaneous","diversified - mega","midcap",""
1453,"Marksans Pharma Limited","MARKSANS","336.95","-0.13%","14,52,979","healthcare","pharmaceuticals - indian - formulations","midcap",""
1454,"DC Infotech & Communication Ltd","DCI","302","-0.13%","1,14,505","i.t","trading","smallcap",""
1455,"Indef Manufacturing Ltd","BAJAJINDEF","218.09","-0.13%","10,132","industrials","engineering","smallcap",""
1456,"Orient Cement Limited","ORIENTCEM","122.16","-0.13%","4,91,051","building materials","cement - south india","smallcap",""
1457,"Aditya Birla Sun Life Nifty 200 Momentum 30 ETF","MOMENTUM","30.63","-0.13%","20,064","indices","indices","smallcap",""
1458,"Trident Limited","TRIDENT","23.12","-0.13%","21,93,149","textiles","textiles - cotton/blended","midcap",""
1459,"ICICI Prudential Nifty200 Value 30 ETF","VAL30IETF","14.85","-0.13%","1,37,283","indices","indices","smallcap",""
